customerNumber	name	status	addressLine1	addressLine2	addressLine3	city	state	zipCode	phoneNumber
HCINSY 	HC INTEGRATED SYSTEMS-NP	Active	EMAIL AND MAIL INVOICES TO:	ACCT5@HCISYSTEMS.NET	1354 S PARKSIDE PL	ONTARIO	CA	91761	(909) 628-7773
HCMSCO 	HCMS CORPORATION	Active	2893 SUNRISE BLVD #105			RANCHO CORDOVA	CA	95742-6567	916-631-9391
HCSELE 	HCS ELECTRICAL SUPPLY	Active	4640 S DECATUR BLVD			LAS VEGAS	NV	89103	702-733-1191
W1006  	HD SUPPLY / WHITE CAP	Active	P.O. BOX 4955			Orlando	FL	32802-4955	714-764-1111
HDSUPW 	HD SUPPLY WATERWORKS-FONTANA	Active	PO BOX 28446			ST. LOUIS,	MO	63146	(314) 432-4700
HDSURO 	HD SUPPLY WHITE CAP- ROSEVILLE	Active	E-MAIL INVOICES	VENDORINVOICES@HDSUPPLY.COM	PO BOX 4955	ORLANDO	FL	32805-2247	(916) 780-5922
HDSWUT 	HD SUPPLY WHITE CAP-UTAH*EMAIL	Active	E-MAIL INVOICES	VENDORINVOICES@HDSUPPLY.COM	PO BOX 4955	ORLANDO	FL	32802	(801) 463-2770
HDSUWC 	HD SUPPLY WHITE CAP***E-MAIL	Active	E-MAIL INVOICES	VENDORINVOICES@HDSUPPLY.COM	PO BOX 4955	ORLANDO	FL	32802	(800) 944-8322
0300771	HD SUPPLY-ANAHEIM	Active	3250 E Carpenter Ave			ANAHEIM	CA	92806	(714) 764-1111
HDRARC 	HDR ARCHITECTURE, INC	Active	251 SOUTH LAKE AVENUE	SUITE 1000		PASADENA	CA	91101	626-584-1700
HDTEXP 	HDT EXPEDITIONARY SYSTEMS, INC	Active	30500 AURORA ROAD	SUITE 100		Solon	OH	44139	540-479-8105
3075HD 	HEADFIRST PAYMENT ACCOUNT	Active							
HEDECO 	HEALTHCARE DESIGN CONSTRUCTION	Active	836 WEST TOWN & COUNTRY ROAD			ORANGE	CA	92868	714-245-0144
HEALRO 	HEALY, ROY CO.	Active	850 S. VAN NESS			SAN FRANCISCO	CA	94110	415-282-8220
HEARCO 	HEARN CONST	Active	411 DAVIS STREET	SUITE 201		VACAVILLE	CA	95688	707-446-3761
HEACON 	HEARN CONSTRUCTION	Active	411 DAVIS STREET	SUITE 201		VACAVILLE	CA	95688	707-466-3761
HEAACO 	HEARTLAND ACOUSTICS&INTERIORS	Active	3232 GREY HAWK COURT			CARLSBAD	CA	92010	(760) 295-7260
HEAMEC 	HEARTLAND MECHANICAL CONTR	Active	donna@heartlandmechanical.com	511 HEALTH DEPT ROAD		Murphysboro	IL	62966	618-684-3606
HEACOO 	HEATING & COOLING SUPPLY	Active	3955 W. SUNSET			LAS VEGAS	NV	89118	(702) 739-8090
HEATCO 	HEATING & COOLING SUPPLY, INC.	Active	1669 BRANDYWINE AVE..	SUITE A		CHULA VISTA	CA	91911	619-591-4615
HEAPLU 	HEATING&PLUMBING ENGINEERS-GEN	Active	(HPE,INC)**EMAIL INVOICES To:	INVOICES@HPEINC.COM	407 W FILMORE PLACE	COLORADO SPRING	CO	80907	(719) 633-5414
HEATEK 	HEATTEK INC	Active	W1285 INDUSTRIAL DRIVE			Ixonia	WI	53036	262-569-7410
HEAVEQ 	HEAVY EQUIPMENT PARTS, INC	Active	2416 RADLEY COURT	SUITE #4		HAYWARD	CA	94545	800-225-5016
HEDGE  	HEDGE HOG ELECTRIC , LLC	Active	985 W STATE ST SUITE  1			Hurricane	UT	84737	(435) 635-9793
HEDLBU 	HEDLEY BUILDERS	Active	5010 CAMPUS AVE	SUITE 100		NEWPORT BEACH	CA	92660	714-851-2211
HEENVI 	HEE ENVIRONMENTAL	Active	2143 E CONVENTION CENTER WAY	SUITE 180    EMAIL INVs TO:	aphee@cecoenviro.com	Ontario	CA	91758	(909) 230-6120
HEGGIN 	HEGGSTAD, H.L.,INC	Active	1333 OLD COUNTRY ROAD			BELMONT	CA	94002	650-593-1074
HEHLCO 	HEHLCO,INC. CONT.-NP	Active	5362 BOLSA AVE STE B			HUNT. BEACH	CA	92649	(714) 934-6800
HEIACH 	HEIDA'S AIR CONDITIONING & HTG	Active	256 WITHERSPOON WAY STE D			EL CAJON	CA	92020	619/469-6361
HEICOO 	HEIDE & COOK, LLC	Active	1714 KANAKANUI STREET			HONOLULU	HI	96819	808-841-6161
HEIMEC 	HEINZ MECHANICAL, INC.	Active	2615 NW ST.HELENS RD.			PORTLAND	OR	97210	503-220-0855
HELELE 	HELFERS ELECTRIC COMPANY	Active	accountspayable@helferselectri	1268 GREENFIELD DRIVE		EL CAJON	CA	92021	619-456-9500
HELNOR 	HELIX - NORTH	Active	6795 FLANDERS DR.			SAN DIEGO	CA	92121	858-535-0505
HELJOH 	HELIX ELECTRIC INC- WA	Active	8260 CAMINO SANTA FE	SUITE A		SAN DIEGO	CA	92121	(858) 535-0505
HELSAN 	HELIX ELECTRIC-SAN DIEGO**JOBS	Active	PO BOX 85298			SAN DIEGO	CA	92186	(858) 535-0505
HELIEL 	HELIX ELECTRIC, INC****JOBS	Active	P.O. BOX 85298			SAN DIEGO	CA	92186	(858) 535-0505
HELIAZ 	HELIX ELECTRIC, INC/AZ****JOBS	Active	P.O. BOX 85298			SAN DIEGO	CA	92186	(858) 535-0505
HELINV 	HELIX ELECTRICAL	Active	3078 E. SUNSET, #9			LAS VEGAS	NV	89120	(702) 732-1188
HEMEIN 	HELIX MECHANICAL, INC***E-MAIL	Active	EMAIL INVOICES TO:	accounting@helixmechanical.com	1100 N MAGNOLIA AVENUE,SUITE L	EL CAJON	CA	92020	(619) 447-6675
HEIELE 	HELLMAN ELECTRIC CORP	Active	855 BRUSH AVE			Bronx	NY	10465	718-931-9900
HELLME 	HELLWIG MECHANICAL	Active	1301 Laurelwood Rd			SANTA CLARA	CA	95054	972-535-7300
HELMCO 	HELMCO ELECTRIC	Active	17985 SKYPARK CIRCLE # J			IRVINE	CA	92614	(949) 872-2155
HELSON 	HELOU & SON'S CORP	Active	714 W. OLYMPIC BLVD	SUITE 915		LOS ANGELES	CA	90015	(702) 340-8951
0080800	HEMET VALLEY PIPE	Active	1590 COMMERCE LANE			San Jacinto	CA	92583	(951) 654-9358
HENDRY 	HENDERSON DRYWALL INC.	Active	(SUPERIOR DRYWALL)	9780 CORBETT STREET		LAS VEGAS	NV	89149	702-839-1600
HENELE 	HENDERSON ELECTRIC, INC	Active	648 ANCHORS STREET NW	SUITE 3A		Fort Walton Beach	FL	32548	850-243-2223
HEMESE 	HENDRICKSON MECHANICAL	Active	P.O. BOX 31543	SERVICES INC.		Raleigh	NC	27612	(919) 781-9919
HENMCC 	HENKEL & MCCOY	Active	301 E ARROW HWY #110			SAN DIMAS,	CA	91773	909-305-0614
HENKMC 	HENKELS AND MCCOY, INC.-POMONA	Active	985 JOLLY ROAD			BLUE BELL	PA	19422	(484) 344-4161
DECSOU 	HENRY BROS INC DBA DECA	Active	SOUTHWEST LIGHTING & ELECT	P.O. BOX 5873		Mesa	AZ	85211	(602) 437-2700
HEBROS 	HENRY BROS. ELECTRONICS,INC-NP	Active	4710 E ELWOOD ST # 14			PHOENIX	AZ	85040	(480) 894-2826
HENBRO 	HENRY BROTHERS ELECT.,INC	Active	1511 E ORANGETHORPE AVE	SUITE A		FULLERTON	CA	92831	714-388-1058
HENMEC 	HENRY MECHANICAL	Active	7656 BELL RD.			WINDSOR	CA	95492	707-838-3311
HENSTX 	HENSEL PHELPS - TX	Active	515 TEXAS AVENUE			Galveston	TX	77555	(409) 256-5172
HENPHE 	HENSEL PHELPS CONSTRUCTION	Active	1010 WILDCAT CANYON RD.			LAKESIDE	CA	92040	(619) 717-8650
HENSEP 	HENSEL PHELPS CONSTRUCTION	Active	535 EAST ROMIE LANE	SUITE 5		SALINAS	CA	93901	(831) 758-6854
HENSAZ 	HENSEL PHELPS CONSTRUCTION CO.	Active	550 EAST MCKINLEY STREET			PHOENIX	AZ	85004	(480) 383-8480
HENSLA 	HENSEL PHELPS-LOS ANG.	Active	2000 S VERMONT			LOS ANGELES	CA	90007	310-678-0219
HENROB 	HENSON ROBINSON COMPANY	Active	P.O. BOX 13137			Springfield	IL	62791	(217) 544-8451
HERCAB 	HEREDIA CABLING SOLUTIONS, INC	Active	3400 PANAMA LANE F193			BAKERSFIELD	CA	93313	(818) 256-4916
HERMCO 	HERMAN CONSTRUCITON GROUP	Active	9285 CHESAPEAKE DRIVE	SUITE M		SAN DIEGO	CA	92123	858-277-7100
HERCOM 	HERMANSON COMPANY LLP	Active	1221 2ND. AVE. NORTH			KENT	WA	98032-2945	(206) 575-9700
HERMBE 	HERMOSA BEACH, CITY OF	Active	1315 VALLEY DRIVE			HERMOSA BEACH	CA	90254	213-318-0239
HERASO 	HERMOSILLO ASOCIADOS	Active	CRISTOBAL COLON 2006			MEXICALI	BC		001-858-547-0700
HERNCO 	HERNANDEZ COMPANIES, INC.	Active	3737 E. ANNE STREET			PHOENIX	AZ	85040-1818	602-438-7825
HERCON 	HERRERO CONTRACTORS, INC.	Active	2100 OAKDALE AVE			SAN FRANCISCO	CA	94124	(415) 824-7675
HERBOL 	HERREROBOLDT PARTNERS	Active	1200 Van Ness			SAN FRANCISCO	CA	94107	(415) 762-7400
HERRST 	HERRICK STEEL	Active	PO BOX 9125	7021 KOLL CENTER PARKWAY		PLEASANTON	CA	94566	925-484-2900
HERRCO 	HERRON CONSTRUCTION, INC.	Active	2101 MAPLE PRIVADO			ONTARIO	CA	91761	909-391-3603
HERENT 	HERSHEY ENTERPRISES, INC.	Active	305 NATOMA ST			FOLSOM	CA	95630	916-985-4133
HERZCO 	HERZIG CORP. MECHANICAL CONST.	Active	571-C CRANE STREET			LAKE ELSINORE	CA	92530-2742	909-471-2674
HESMIC 	HESS MICROGEN LLC 0615	Active	C/O AMERADA HESS CORP.	P.O. BOX 500		WOODBRIDGE	NJ	07095-0961	732-750-6601
HESCON 	HESS,GREG CONST	Active	2222 FRANSICO DR	SUITE 510		EL DORADO HILL	CA	95762	916-933-6448
HESTRO 	HESTER ROOFING	Active	PO BOX 245390			SACRAMENTO	CA	95824-3590	916-381-8000
HEWAST 	HEWATT STEEL CORP.	Active	2321 WEST 10TH ST			ANTIOCH	CA	94509	510-706-9500
HEWDAC 	HEWD ACOUSTICS INC.	Active	4231 W. WHISPERING WIND DR			GLENDALE	AZ	85310	623-869-7758
HEWLPA 	HEWLETT PACKARD	Active	370 W.TRIMBLE ROAD			SAN JOSE	CA	95131	408-435-4986
HGAARC 	HGA ARCHITECTS	Active	1410 ROCKY RIDGE DR #250			ROSEVILLE	CA	95661	(916) 787-5116
HGRCONS	HGR CONSTRUCTION, INC.	Active	499 MONTGOMERY PLACE			ALTAMONTE SPRINGS	FL	32714	407-645-4447
HICYCL 	HI CYCLE CONCRETE	Active	PO BOX 538			ATWOOD	CA		714-579-0846
HITECH 	HI TECH CONSTRUCTION	Active	29456 STAMPEDE WAY			CANYON LAKE	CA	92587	909-244-2700
HICONI 	HI-CON, INC.	Active	4069 DEAN MARTIN DR			LAS VEGAS	NV	89103	(702) 304-4457
HITELE 	HI-TECH ELECTRIC , INC	Active	11116 W . LITTLE YORK RD	BLDG #8		Houston	TX	77041	(832) 243-0345
HICMEC 	HICKMAN MECHANICAL, INC.	Active	11930 GOLDRING RD.			ARCADIA	CA	91006	626-442-5626
HIGGNE 	HIGGINGS NETWORK SERV.	Active	17451 MT. HERRMANN STREET	SUITE #D		FOUNTAIN VALLE	CA	92708	714-424-9717
HIGHDE 	HIGH DESERT STATE PRISON	Active	SAC REGIONAL ACCT. OFFICE	P.O. BOX  187015		SACRAMENTO	CA	95818-7015	916-358-2060
HIGENE 	HIGH ENERGY ELECTRIC	Active	18 WEST MAYFLOWER			N LAS VEGAS	NV	89030	702-639-3555
HIGHPO 	HIGH POINT CONSTRUCTION, INC.	Active	7120 RAFAEL RIDGEWAY			LAS VEGA	NV	89119	702-451-5511
HIGELE 	HIGHLAND ELECTRIC	Active	681 W. 6960 SOUTH	SUITE A		MIDVALE	UT	84047	(801) 562-5317
HIGHMEC	HIGHLAND MECHANICAL LLC	Active	PO BOX 2003	    "JED"		WOODLAND	WA	98674	
HIPART 	HIGHLAND PARTNERSHIP	Active	285 BAY BLVD.			CHULA VISTA	CA	91910	619-498-2900
HIGFIN 	HIGHTOWER FINISHING, INC	Active	3279 AVENIDA ARAGON			CARLSBAD	CA	92009	760-535-5330
HILCOP 	HILCO PLUMBING & HEAT CONTRACT	Active	P.O. BOX 4026			LOGAN,	UT	84323-4026	435-753-0422
HILIBU 	HILINE BUILDERS	Active	8025 AVALOS WAY			CITRUS HEIGHTS	CA	95610	916-721-6876
HIELEC 	HILINE ELECTRIC CO	Active	1119 ST			SACRAMENTO	CA	95814	916-444-7915
HILLBR 	HILL BROTHERS CONST. INC**JOBS	Active	E-MAIL INVOICES	P.O. BOX 1743		SHINGLE SPRING	CA	95682-1743	(916) 539-6927
HILLCO 	HILL COMPANIES	Active	5075 SHOREM PL#100			SAN DIEGO	CA	92122	616-457-1600
HIHOCO 	HILL HOUSE CONSTRUCTION	Active	376 MARTIN AVE			SANTA CLARA	CA	95050-3123	408-764-0250
HILLME 	HILL MECHANICAL CORP.	Active	11045 GAGE AVENUE			Franklin Park	IL	60131	(847) 451-5000
HILBRE 	HILL PHOENIX - BREA	Active	221 S. BERRY STREET			BREA	CA	92821	(714) 529-1935
HILPHO 	HILL PHOENIX INC	Active	3601 WALNUT AVENUE			CHINO	CA	91710	(925) 417-6682
HILLPHO	HILL PHOENIX, INC	Active	DBA COMPREHENSIVE SERVICES	1031 E. RIVERVIEW DR., STE 100		PHOENIX	AZ	85034	(602) 386-3823
HILLRE 	HILL REFRIGERATION	Active	6761 SIERRA CT	SUITE C		DUBLIN	CA	94568	415-828-9595
HILLTH 	HILL THREADED PRODUCTS, INC	Active	P.O. BOX 3314			BAKERSFIELD	CA	93385	805-324-1315
HILLHEA	HILLSIDE HEATING & AC	Active	400 PRINCELAND CRT			CORONA	CA	92879	(951) 737-1241
HILENG 	HILTON ENGINEERING CORP	Active	281 AVE MATADERO			San Juan	PR	00920	(787) 781-8183
HINBLD 	HINDS BLDG CO.INC.	Active	P.O.BOX 6796			SANTA ROSA	CA	95403	707-528-8537
0081199	HIRSCH P & S-VANNUYS	Active	14949 OXNARD ST			VAN NUYS	CA	91411	(818) 756-5750
HIPISU 	HIRSCH PIPE & SUPPLY CO.-NP	Active	15025 OXNARD ST., STE. 200			VAN NUYS	CA	91411	(818) 756-0900
HISSAN 	HIS OF SAN BERNARDINO, INC	Active	895 EAST HOSPITALITY LANE			SAN BERNARDINO	CA	92408	(701) 235-1060
HITACH 	HITACHI AMERICA LTD	Active	100 MARINA BLVD			SAN LEANDRO	CA	94577	650-244-7477
HMRELE 	HMR ELECTRICAL CONTRACTING LLC	Active	P.O. BOX 7953			Shreveport	LA	71137	(318) 226-4510
HMTNOR 	HMT ELECTRIC NORTH, INC - ISAT	Active	2340 MEYERS AVENUE			ESCONDIDO	CA	92029	(858) 458-9771
HMTELE 	HMT RENEWABLE ENERGY INC.	Active	2340 MEYERS AVE			ESCONDIDO	CA	92029	(858) 458-9771
HOEMAS 	HOEM & ASSOCIATES, INC**JOBS**	Active	951 LINDEN AVENUE			S SAN FRANCISCO	CA	94080	(650) 871-5194
HOFFCO 	HOFFMAN CORPORATION	Active	805 SW BROADWAY	SUITE 2100		Portland	OR	97205	(503) 221-8811
HOFFGC 	HOFFMAN GENERAL CONTRACTING,	Active	4500 S. DOBSON RD	INC.	M/S OCT3-001	CHANDLER	AZ	85248	(480) 715-4737
HOFCON 	HOFFMAN MECHANICAL CORP.	Active	Attn: Karen Chabinsky	SUITE 201, BOX 1237	11700 MUKILTEO SPEEDWAY	MUKILTEO	WA	98275	(503) 221-8811
HOLPAR 	HOLADAY-PARKS INC.	Active	janet@holadayparks.com	4600 S. 134TH PL.		SEATTLE	WA	98168-3241	(206) 248-9700
HOLSER 	HOLBROOK SERVCO, LP	Active	1580 S pioneer rd	ap@holbrookservice.com		SALT LAKE CITY	UT	84104	(801) 486-4300
HOLCCO 	HOLCOMB CONSTRUCTION	Active	419 MAIN ST SUITE #348			HUNTINGTON BCH	CA	92648	949-650-2766
HOLLAW 	HOLLAND AWNING COMPANY	Active	10902 GRAND AVE # N			TEMPLE CITY	CA	91780	(626) 284-2074
HOLLFR 	HOLLOWAY & FREEMAN	Active	825 PORT CHICAGO WAY			PITTSBURG	CA	94565	415-458-1612
HOLLPR 	HOLLYWOOD PRES MED CTR	Active	1300 N. VERMONT AVE			LOS ANGELES	CA	90027	213-660-3530
HOLCOM 	HOLMBERG COMPANY	Active	15400 SE 30TH PLACE	SUITE 100		BELLEVUE	WA	98007	425-822-2233
HOLELE 	HOLMES ELECTRIC	Active	P.O. BOX 338			KENT	WA	98035-0338	253-479-4000
HOLMES 	HOLMES MECHANICAL INC.	Active	10890 OLD FRONTIER RD NW			SILVERDALE	WA	98383	360-698-1977
HOLMEC 	HOLMES MECHANICAL, INC. *****	Active	10890 OLD FRONTIER RD. NW			SILVERDALE	WA	98383-8891	(360) 693-1977
HOLTEL 	HOLT ELECTRIC , INC	Active	1231 CARBIDE DRIVE			Corona	CA	92881	(951) 737-1580
HOAICO 	HOME AIR CONDITIONING, INC	Active	HACI MECHANICAL CONTRACTORS	2108 W. SHANGRI-LA ROAD		PHOENIX	AZ	85029	(602) 944-1555
HOMEEN 	HOME ENERGY SYSTEMS, INC.	Active	10981 SAN DIEGO MISSION RD			SAN DIEGO	CA	92108	619-692-2015
HOMTHA 	HOMER T HAYWARD LUMBER CO.	Active	1900 GARDEN GROVE STE 100			MONTEREY	CA	93940	831-754-5054
HOMCON 	HOMETOWN CONSTRUCTION INC.	Active	2507 ELKHORN BLVD			RIO LINDA	CA	95673	(916) 991-2486
HONEYW 	HONEYWELL	Active	6 CENTERPOINTE DR.			LA PALMA	CA	90623	(714) 562-3017
HONWEL 	HONEYWELL INC.	Active	514 S LYON ST			SANTA ANA	CA	92701	888-800-9028
HONOEL 	HONOLULU ELECTRICAL CONST.INC.	Active	16031A SOUTH ARROW HIGHWAY			IRWINDALE	CA	91706	(818) 814-2030
HORIPL 	HOOD RIVER PLUMBING & HEATING	Active	P.O. BOX 499			Hood River	OR	97031	(541) 386-2180
HOOPCOR	HOOPER CORPORATION	Active	2030 PENNSYLVANIA AVENUE			Madison	WI	53704	(608) 249-0451
HOPBAP 	HOPE BAPTIST CHURCH OF LAS	Active	VEGAS, INC.	C/O TRADEWINDS CONSTRUCTION	8215 S. EASTERN AVE,SUITE 100	LAS VEGAS	NV	89123	(702) 896-5924
HORCOM 	HORIZON COMMUNICATIONS	Active	HORIZON COMMUNICATIONS	30 FAIRBANKS, SUITE 110	ap@horizon-com.com	IRVINE	CA	92618	(949) 398-3000
HORENT 	HORIZON ENTERPRISES	Active	PO BOX 3065			YUBA CITY	CA	95992	530-713-5959
HORHEA 	HORIZON HEATING	Active	& AIR CONDITIONING INC.	17853 SANTIAGO BLVD.	SUITE 107-243	VILLA PARK	CA	92861	714-974-3702
HORIRE 	HORIZON RETAIL CONST., INC.	Active	1516 S. GREEN BAY ROAD			RACINE	WI	53406	414-638-6000
HORIWA 	HORIZON WALLBOARD SYSTEMS	Active	3431 W THUNDERBIRD	SUITE B #150		PHOENIX	AZ	85053	602-896-1808
HORSEL 	HORSEPOWER ELEC & MAINT CORP	Active	4101 1ST AVENUE			Brooklyn	NY	11232	(718) 437-6937
HORTDR 	HORTON DRYWALL	Active	PO BOX 13620	14011 MAUMELLE BLVD		MAUMELLE	AR	72113-0620	501-758-5041
HOSBUI 	HOSPITAL BUILDING & EQUIPMENT	Active	11330 OLIVE BLVD	P.O. BOX 419039	COMPANY DIVISION OF HBE CORP.	ST LOUIS	MO	63141	(314) 567-9000
H1019  	HOT SOURCE	Active	1935 N. ENTERPRISE STREET			ORANGE	CA	92865	714-921-9595
HORESU 	HOTEL & RESTAURANT SUPPLY	Active	5020 ARUNDEL ROAD			Meridian	MS	39307	(601) 482-7127
HOTRES 	HOTEL RESTAURANT SUPPLY	Active	5020 ARUNDEL RD	PO BOX 6		Meridian	MS	39307	(601) 482-7127
HOUELE 	HOULE ELECTRIC LIMITED*E-MAIL*	Active	E-MAIL INVOICES	BBYPAYABLES@HOULE.CA	5050 NORTH FRASER WAY	BURNABY	BC	V5J 0H1	(604) 434-2681
HOUSWO 	HOUSE WORKS, INC/JET STREAM	Active	845 WEST BONANZA ROAD			LAS VEGAS,	NV	89106	702-474-4700
HOUSCO 	HOUSTON CONSTRUCTION COMPANY	Active	P.O. BOX 21187			PHOENIX	AZ	85036	602-283-1029
HOUSINT	HOUSTON INTERIORS LLC	Active	richard@houstoninteriorsllc.co	2501 CENTRAL PARKWAY DR	SUITE B-16	HOUSTON,	TX	77092	(713) 269-8649
HOUSTA 	HOUSTON STAFFORD ELECTRIC	Active	10203 MULA CIR.			STAFFORD	TX	77477	281-498-2212
H1004  	HOWARD & SONS BUILDING MTLS.	Active	P.O. BOX 2492			FERNLEY	NV	89408	775-835-6222
HOWACO 	HOWARD ACOUSTIC	Active	P.O. BOX 8			HOOD	CA	95639	916-764-1440
HOWCON 	HOWARD CONSTRUCTION	Active	3313 SWETZER RD			LOOMIS	CA	95650	916-660-9905
HOWDRY 	HOWARD DRYWALL	Active	P.O. BOX 7936			CITRUS HEIGHTS	CA	95678	916-788-1422
HOWARO 	HOWARD ROOFING CO., INC.-NP	Active	245  N. MOUNTAIN VIEW AVE.			POMONA	CA	91767	(909) 622-5598
HOWWRI 	HOWARD S WRIGHT CONTRACTORS	Active	1455 NW IRVING STREET	#  400		PORTLAND	OR	97209	503-546-6180
HOWEEL 	HOWE ELECTRIC, INC	Active	4682 E. OLIVE AVENUE			FRESNO	CA	93702	(559) 255-8992
HOWELL 	HOWELL ELECTRIC, INC.	Active	3390 VISO COURT			SANTA CLARA	CA	95054	408-980-8800
HOHEAC 	HOYT'S HEATING & A/C, INC.	Active	710 N.WISE DR.			Sumter	SC	29153	(803) 775-1378
HPLMEC 	HPL MECHANICAL, INC	Active	1041 LOGAN STREET			SANTA ANA	CA	92701	714-541-0220
HPSMEC 	HPS MECHANICAL, INC	Active	3100 EAST BELLE TERRACE			BAKERSFIELD	CA	93307	(661) 397-2121
HSSANB 	HS OF SAN BERNARDINO, INC	Active	885 EAST HOSPITALITY LANE			SAN BERNARDINO	CA	92408	(701) 235-1060
ELLONE 	HT-SEATTLE OWNER, LLC	Active	PO BOX 19577			SEATTLE	WA	98109	206-682-7770
HUBCRC 	HUB CONST. SPEC- RC	Active	P.O. BOX 1269			SAN BERNADINO	CA	92402-1269	(916) 375-6600
H1008  	HUB CONSTRUCTION	Active	700 SOUTH I STREET			SAN BERNADINO	CA	92410	909-889-0161
HUCONS 	HUB CONSTRUCTION SPECIALTIES	Active	804 B RANCHEROS			SAN MARCOS	CA	92069	800-252-5482
HUBCON 	HUB CONSTRUCTION- SB	Active	PO BOX 1269			SAN BERNARDINO	CA	92402-1269	(909) 889-0161
HUBOAK 	HUB CONSTRUCTION-OAKLAND	Active	PO BOX 1269			San Bernardino	CA	92402	(909) 379-2100
HUBBST 	HUBBARD STRUCTURES	Active	P.O. BOX 5765			REDWOOD CITY	CA	94063	650-364-8123
HUBECO 	HUBELL CONST/DRYWALL DBA HUB-L	Active	8687 E. VIA DE VENTURA			SCOTTSDALE	AZ	85258	480-948-5108
HUBEHU 	HUBER HUNT & NICHOLS	Active	240 VAN NESS AVE			SAN FRANCISCO	CA	94102	415-863-0188
HUMECH 	HUDSON MECHANICAL INC	Active	P.O BOX 493190			REDDING	CA	96049-3190	530-223-6355
HUDDAV 	HUDSON P. DAVIS, INC.	Active	DBA DAVIS MECHANICAL SYSTEMS	1316 N. MELROSE DR., STE. E		VISTA	CA	92083-2920	(760) 724-3990
DAVIHU 	HUDSON P. DAVIS, INC.**JOBS**	Active	DBA: DAVIS MECHANICAL SYSTEMS	1316 N. MELROSE DR.	SUITE E	VISTA	CA	92083-2920	(760) 724-3990
HUEELE 	HUEN ELECTRIC, INC	Active	1801 W. 16TH STREET			Broadview	IL	60155	(630) 851-3668
HUFFSO 	HUFF & SONS CONSTRUCTION, INC.	Active	7335 E ACOMA DR #201			SCOTTSDALE	AZ	85260	(480) 922-9511
HUGFUT 	HUGH FUTRELL CORPORATION	Active	200 FOURTH STREET #250			SANTA ROSA	CA	95401	707-568-3482
HUGHES 	HUGHES AIRCRAFT	Active	ACCOUNTS PAYABLE	PO BOX 3310		FULLERTON	CA		714-441-5394
HUGMA  	HUGHES MACHINERY	Active	3000 E. 14th Street			Columbus	OH	43219	(913) 492-0355
HUGSUP 	HUGHES SUPPLY	Active	P.O. BOX 4936	ACCOUNTS PAYABLE		ORLANDO	FL	32801	510-441-1650
HUISH  	HUISH ENTERPRISES	Active	2470 STEARNS STREET # 176			SIMI VALLEY	CA	93063	(805) 584-3757
HULBCO 	HULBERT CONSTRUCTION	Active	13019 VOLUNTEER AVE			NORWALK	CA	90650	213-929-4355
HUMELE 	HUMBLE ELECTRIC, LLC. **JOBS**	Active	** MAIL & EMAIL INVOICES ****	41310 214TH AVENUE SE		ENUMCLAW	WA	98022	(206) 228-7339
HUMASS 	HUMPHREY & ASSOCIATES	Active	11235 SHADY TRAIL			Dallas	TX	75229	(972) 620-1075
HUMPH  	HUMPHREY COMPANY LTD	Active	4439 W  12th STREET			Houston	TX	77055	(713) 686-8606
HUMCON 	HUMPHREY CONSTRUCTION	Active	4380 HALL RD.			SANTA ROSA	CA	95401	707-528-7577
HUNCON 	HUNT CONSTRUCTION GROUP	Active	426 NORTH 44TH STREET #410			PHOENIX	AZ	85008	(480) 368-4700
HUNTEL 	HUNT ELECTRIC, INC.	Active	1863 WEST ALEXANDER STREET			SALT LAKE CITY	UT	84119	(801) 975-8844
HUELCO 	HUNT ELECTRICAL CORP	Active	2300 TERRITORIAL RD			ST PAUL	MN	55114	(651) 646-2911
HUTMEC 	HUNTER MECHANICAL, INC.	Active	215 DENALI STREET			ANCHORAGE	AK	99501	907-278-4546
HUNTTO 	HUNTER TOOL SALES,INCORPORATED	Active	P.O. BOX  667909			CHARLOTTE,	NC	28266-7909	704-334-9791
HUNTBC 	HUNTINGTON BCH, CITY OF	Active	2000 MAIN STREET	P.O. BOX 190		HUNTINGTON BCH	CA	92648	714-536-5221
HURLAM 	HURLBUT AMUSEMENT COMPANY	Active	7860 WESTERN AVENUE			BUENA PARK	CA	90620	714-523-1060
HURLEY 	HURLEY CONS.	Active	1801 I ST #202			SACRAMENTO	CA	95814-3000	916-444-9897
HUSSRE 	HUSSMAN CORPORATION/SACRAMENTO	Active	13770 RAMONA AVE.			CHINO	CA	91710	909-590-4910
HUSREF 	HUSSMAN REFRIGERATION / CHINO	Active	13770 RAMONA AVE	PO BOX 5133		CHINO	CA	91708	909/590-4910
HUSSCOR	HUSSMANN CORP.	Active	3123 WILSON DRIVE			GRAND RAPIDS	MI	49534	(616) 453-2441
HUSMEC 	HUSSUNG MECHANICAL CONTRACTORS	Active	6913 ENTERPRISE DRIVE			Louisville	KY	40214	(502) 375-3500
HUTDRY 	HUTCHINS DRYWALL,INC.	Active	2335 SILVER WOLF DR			HENDERSON	NV	89015	702-565-5317
HUTINS 	HUTCHINS INSULUTIONS,INC.	Active	3601 E. LA SALLE  ST			PHOENIX	AZ	85040	602-437-4040
HUTCCO 	HUTCHISON CORPORATION-NP	Active	2250 S. CENTRAL AVE			R. DOMINGUEZ	CA	90220	(310) 763-7991
HVACCO 	HVAC CONTROLS CORPPORATION	Active	PO BOX 276			COTATI	CA	94931	707-794-9360
